,Unnamed: 0.1,Unnamed: 0,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AWARD,SEASON
43,43,43,2229,Mike James,Mike,1610612748,MIA,27.0,15,9,6,0.6,117.57833333333332,15,43,0.349,8,21,0.381,4,7,0.571,2,12,14,19,13,6,1,1,17,0,42,-39,95.3,0,0,97.0,54,47,8,12,54,50,50,56,17,21,5,56,58,56,59,52,56,36,43,44,50,5,20,16,50,45,52,23,2,49,0,2001-02
44,44,44,2369,Norman Richardson,Norman,1610612741,CHI,24.0,11,4,7,0.364,68.46333333333334,10,26,0.385,4,8,0.5,6,9,0.667,3,5,8,2,3,0,0,3,5,0,30,-26,39.6,0,0,44.0,60,58,12,42,61,56,55,46,22,30,1,53,53,43,55,61,59,64,58,61,59,17,7,16,54,37,60,23,2,60,0,2001-02
45,45,45,2351,Oscar Torres,Oscar,1610612745,HOU,25.0,65,20,45,0.308,1076.9666666666667,135,341,0.396,37,126,0.294,82,105,0.781,47,75,122,40,49,25,9,27,64,0,389,-165,648.4,0,0,656.0,19,28,59,50,23,20,19,43,11,10,19,18,18,14,22,26,25,26,24,21,30,48,40,16,20,61,24,23,2,22,0,2001-02
46,46,46,2200,Pau Gasol,Pau,1610612763,MEM,21.0,82,23,59,0.28,3001.866666666667,551,1064,0.518,1,5,0.2,338,477,0.709,238,492,730,223,224,41,169,105,195,1,1441,-310,3057.5,35,0,2815.0,1,20,67,54,2,1,2,5,31,33,28,1,1,33,1,1,1,4,2,13,1,69,63,5,1,68,1,1,2,1,1,2001-02
47,47,47,1542,Predrag Drobnjak,Predrag,1610612760,SEA,26.0,64,37,27,0.578,1173.6533333333334,191,414,0.461,0,2,0.0,55,73,0.753,75,144,219,51,51,20,31,34,109,0,437,97,878.3,1,0,809.0,20,11,43,14,19,11,13,14,34,39,34,21,23,22,16,19,18,24,21,24,16,58,49,16,17,5,21,16,2,21,0,2001-02
48,48,48,2056,Primoz Brezec,Primoz,1610612754,IND,22.0,22,10,12,0.455,160.615,14,29,0.483,0,0,0.0,15,25,0.6,16,12,28,6,6,0,7,4,28,0,43,-18,100.6,0,0,91.0,47,45,27,36,47,51,53,12,34,51,34,40,39,53,40,52,48,49,54,61,33,21,27,16,49,32,50,23,2,51,0,2001-02
49,49,49,2237,Ratko Varda,Ratko,1610612765,DET,23.0,1,0,1,0.0,5.65,2,3,0.667,0,0,0.0,1,1,1.0,0,1,1,0,1,0,0,0,3,0,5,-1,5.2,0,0,6.0,69,68,1,68,69,66,69,1,34,51,34,65,67,1,67,68,69,68,69,61,59,1,2,16,67,19,69,23,2,69,0,2001-02
50,50,50,2210,Richard Jefferson,Richard,1610612751,NJN,22.0,79,51,28,0.646,1919.4233333333327,270,591,0.457,13,56,0.232,189,265,0.713,85,208,293,140,107,64,48,53,211,0,742,101,1532.6,0,0,1412.0,6,2,45,8,8,6,9,16,16,14,26,4,4,32,12,9,12,10,7,8,9,62,65,16,6,3,8,23,2,8,2,2001-02
51,51,51,2206,Rodney White,Rodney,1610612765,DET,22.0,16,9,7,0.563,127.49333333333334,21,60,0.35,2,9,0.222,12,14,0.857,2,16,18,12,14,9,2,8,6,0,56,19,114.6,0,0,110.0,53,47,12,17,51,48,45,55,29,28,27,44,49,6,59,49,52,41,39,37,47,29,8,16,46,12,47,23,2,47,0,2001-02
52,52,52,2257,Ruben Boumtje-Boumtje,Ruben,1610612757,POR,24.0,33,17,16,0.515,244.9033333333333,13,32,0.406,0,0,0.0,13,25,0.52,21,34,55,4,14,3,16,5,38,0,39,-84,154.0,0,0,136.0,38,34,30,25,42,52,52,37,34,51,34,42,39,59,38,40,38,58,39,51,25,26,34,16,52,53,44,23,2,45,0,2001-02
53,53,53,2223,Samuel Dalembert,Samuel,1610612755,PHI,22.0,34,18,16,0.529,175.91,22,50,0.44,0,0,0.0,7,18,0.389,25,43,68,5,14,6,13,5,30,0,51,-19,183.1,0,0,162.0,37,33,30,22,45,45,47,24,34,51,34,51,45,65,35,32,33,52,39,44,26,26,29,16,48,33,42,23,2,42,0,2001-02
54,54,54,2203,Shane Battier,Shane,1610612763,MEM,23.0,78,23,55,0.295,3098.1,412,961,0.429,103,276,0.373,198,283,0.7,180,238,418,216,155,121,81,73,215,4,1125,-289,2401.6,3,0,2266.0,7,20,65,52,1,3,3,27,1,1,6,3,3,38,2,4,2,5,4,2,6,68,66,1,3,67,2,6,2,2,1,2001-02
55,55,55,2049,Speedy Claxton,Speedy,1610612755,PHI,24.0,67,36,31,0.537,1529.9483333333333,181,452,0.4,4,33,0.121,114,136,0.838,46,114,160,198,95,95,6,50,145,0,480,-30,1177.0,0,0,1044.0,18,12,52,18,11,14,11,40,22,17,33,13,16,8,23,23,23,6,11,5,38,61,54,16,14,39,12,23,2,12,0,2001-02
56,56,56,2212,Steven Hunter,Steven,1610612753,ORL,20.0,53,27,26,0.509,514.0466666666666,67,147,0.456,0,0,0.0,55,94,0.585,40,57,97,5,16,5,43,19,81,0,189,-101,440.9,0,0,387.0,28,16,41,27,30,30,30,17,34,51,34,21,20,55,27,29,28,52,37,47,12,41,44,16,28,56,29,23,2,29,0,2001-02
57,57,57,2347,Tang Hamilton,Tang,1610612748,MIA,24.0,9,1,8,0.111,97.94666666666669,10,19,0.526,0,1,0.0,0,1,0.0,6,12,18,5,2,4,0,1,10,0,20,-3,59.1,0,0,51.0,62,67,15,67,57,56,61,3,34,44,34,68,67,68,52,52,52,52,64,50,59,5,13,16,61,21,58,23,2,59,0,2001-02
58,58,58,2242,Terence Morris,Terence,1610612745,HOU,23.0,68,23,45,0.338,1115.2966666666666,111,289,0.384,15,78,0.192,18,28,0.643,77,134,211,64,45,21,27,22,72,0,255,-214,703.2,2,0,641.0,17,20,59,44,22,23,22,48,14,13,30,37,35,49,15,21,19,20,26,22,19,46,41,16,25,64,22,10,2,23,0,2001-02
59,59,59,2357,Tierre Brown,Tierre,1610612745,HOU,23.0,40,6,34,0.15,401.6216666666666,49,115,0.426,4,12,0.333,21,28,0.75,12,30,42,70,40,19,3,12,26,0,123,-138,304.4,0,0,283.0,33,53,54,66,34,33,33,29,22,25,10,36,35,23,43,42,43,17,28,25,46,36,25,16,33,59,33,23,2,34,0,2001-02
60,60,60,2225,Tony Parker,Tony,1610612759,SAS,20.0,77,55,22,0.714,2271.1783333333333,268,639,0.419,61,189,0.323,108,160,0.675,33,164,197,334,151,89,7,42,166,1,705,173,1579.4,2,0,1489.0,9,1,38,4,5,7,6,34,5,4,15,14,11,40,29,16,21,2,5,6,33,59,57,5,7,2,7,10,2,7,1,2001-02
61,61,61,1762,Tremaine Fowlkes,Tremaine,1610612746,LAC,26.0,22,11,11,0.5,340.62166666666667,25,64,0.391,0,0,0.0,24,31,0.774,32,32,64,17,13,11,1,8,39,0,74,-52,199.3,0,0,179.0,47,41,24,30,36,41,44,44,34,51,34,31,33,17,30,41,36,37,43,34,50,29,35,16,40,49,41,23,2,41,0,2001-02
62,62,62,2239,Trenton Hassell,Trenton,1610612741,CHI,23.0,78,21,57,0.269,2235.5783333333334,267,628,0.425,60,165,0.364,87,114,0.763,65,190,255,172,101,55,44,27,184,0,681,-464,1441.0,0,0,1366.0,7,25,66,56,6,8,8,31,6,6,7,17,17,21,18,11,16,9,8,12,11,48,61,16,8,69,9,23,2,9,0,2001-02
